JobDescription,Company,Experience,Salary,Location,JobDetails,Skills
Data Scientist - Python/r,Vipany Management Consulting,4-9 Yrs,Not disclosed,"Visakhapatnam, Vishakhapatnam",What you will accomplish - The Data Scientist will be a subject-matter expert on variou...,"Tensorflow
Data Science
R
Shell Scripting
Data Scientist
Pandas
Machine Learning
Deep Learning"
Principle Data Scientist (Sr Manager/avp),Societe Generale Global Solution Centre Pvt Ltd,10-18 Yrs,Not disclosed,Bengaluru,Ability to dive deep into problem areas of Societe Generales interest and invent innova...,"Data Science
Predictive Modeling
R
NLP
Algorithms
Advanced Analytics
Data Visualization
Machine Learning"
Data Scientist,Fractal Analytics Ltd,3-6 Yrs,Not disclosed,Bengaluru,Position Description: Fractal Analytics is actively involved in helping Fortune 500 com...,"Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare
SEM"
Data Scientist,Bigtree Entertainment Pvt. Ltd,2-6 Yrs,Not disclosed,Mumbai,Should have knowledge of No SQL will be an added advantage;What will you do: Should hav...,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
Principal Data scientist,"PayPal Holdings, Inc.",8-13 Yrs,Not disclosed,Chennai,"Work with business partners and stake holders to understand the business, formulate the...","Root cause analysis
SAS
data science
Machine learning
Account management
Predictive modeling
Data mining
Financial services"
Data Scientist,Fractal Analytics Ltd,2-5 Yrs,Not disclosed,Mumbai,"Fractal Analytics is Leading Fortune 500 companies leverage Big Data, analytics and tec...","Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
Data Scientist,Efftronics Systems Pvt Ltd,5-10 Yrs,Not disclosed,Vijayawada,SERVICE AGREEMENT Ready to sign 2.5 years service agreement with the company Freshers a...,"Data analysis
C++
Data collection
Agile
Service
Predictive modeling
Graphputer science
Data mining"
Data Scientist Career Data Analytics Companies,ALLERIN TECHNOLOGIES Pvt Ltd.,10-15 Yrs,Not disclosed,Mumbai,Develop hypotheses and test carefully by experience; develop and improve predictive mod...,"Data analysis
Product engineering
Policies
Information security
Tools
Service
Data analytics
Oracle"
Business Analyst - Data Scientist,Hyrefox,3-5 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Data Scientist - CrossTab IT Consulting,Crosstab IT Consulting,2-5 Yrs,Not disclosed,Mumbai,"Key Responsibilities: You will be working with client relationship managers, product ow...","C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
Data Scientist,Bigtree Entertainment Pvt. Ltd,2-7 Yrs,Not disclosed,Mumbai,What will you do: Should have working knowledge of relational Database designs (SQL Ser...,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
Data Scientist | Client of Ruboid | Gurugram / Noida,RUBOID,4-9 Yrs,Not disclosed,"Noida, Gurgaon","Machine Learning Algorithms Knearest Neighbors, Decision Trees, SVM, Random Forest, Nai...","Data Science
Data Scientist
Machine Learning
Algorithm"
Data Scientist - Tensarflow and Keras,Exadatum Software Services Pvt Ltd,2-7 Yrs,"7,00,000 - 17,00,000 PA.",Pune(Kharadi),"You should be able to understand the data science problem, map it with the algorithms a...","Data Science
Algorithms
tensarflow
Neural Networks
keras
Deep Learning"
Data Scientist,RANG INFOSOFT PVT. LTD.,2-5 Yrs,Not disclosed,Pune,The key personnel shall also demonstrate experience using advanced analytic techniques ...,"critical care
Consultant
medicine
ICU
hospital
resident"
Senior Data Scientist / Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,5-10 Yrs,Not disclosed,Anywherein India,Good understanding of mathematical foundations behind Machine Learning algorithms Under...,"Data Science
NLP
Data Scientist
Data Management
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Senior Data Scientist /data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,5-10 Yrs,Not disclosed,"Anywhere in India , Multiple Locations",Good understanding of mathematical foundations behind Machine Learning algorithms Exper...,"Data Science
NLP
Data Scientist
Data Management
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
Urgent Hiring IN Expert DATA Scientist IN HONG KONG & Canada,BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,5-10 Yrs,Not disclosed,"Hong Kong, Canada","Bachelors degree in mathematics, statistics, computer science, operational research, en...","data science
data mining
EXPERT DATA SCIENTIST
Senior Data Analyst
Data Management
Data Warehousing
Data Processing"
Data Scientist / Analyst,SevenMentor Private Limited,0-3 Yrs,Not disclosed,Pune,R/ Python/SAS/SPSS programming skills Experience of statistical techniques Experience o...,"Computer science
Analyst
SAS
Machine learning
Programming
Computer application
Data Analyst
SPSS"
Data Scientist -- Bangalore,Genex Corporate Services Pvt. Ltd,4-9 Yrs,Not disclosed,Bengaluru,"* Selecting features, building and optimizing classifiers using machine learning techni...","Data Mining
Third Party
Machine Learning"
Opening For Data Scientist,Proliant Infotech Private Limited,5-10 Yrs,"5,00,000 - 15,00,000 PA.",Bengaluru,"Immediate opening for Data Scientist Skills: Deep learning, Machine learning Exp: 5 to ...","Machine Learning
Deep Learning"
Data Scientist,Reubro International,3-8 Yrs,Not disclosed,Kochi,Proficiency with SQL language and relational databases Strong experience in working wit...,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
Data Scientist,Bigtree Entertainment Pvt. Ltd,2-5 Yrs,Not disclosed,Mumbai,Should have knowledge of No SQL will be an added advantage;Should have working knowledg...,"Report generation
MySQL
query
Database
Writing
Workflow
Oracle
Business Executive"
DATA SCIENTIST,Tech27 Systems Ltd,3-8 Yrs,Not disclosed,Kozhikode,"THE REQUIRED SKILLS ARE : Post graduate degree in Statistics, Math or any other with st...","C++
SQL database
Analytical
Machine learning
Javascript
Calculus
Windows
Analytics"
Immediate Job Opening For Data Scientist!!!,Proliant Infotech Private Limited,5-10 Yrs,Not disclosed,Bengaluru,Immediate opening for Data Scientist Skills:2 years in Deep learning & Machine learning...,"Data Science
Data Mining
Machine Learning
Statistics
Deep Learning
Python"
Data Scientist,Reubro International,3-8 Yrs,Not disclosed,Kochi,Proficiency with SQL language and relational databases Strong experience in working wit...,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
Data scientist,Quadwave,2-7 Yrs,Not disclosed,Bengaluru,A good understanding of statistics is vital as a data scientist Understanding of Multiv...,"Computer science
Statistical programming
SAS
Machine learning
Database
Calculus
Statistics
Analytics"
Data Scientist,Reubro International,3-8 Yrs,Not disclosed,"Kochi, Cochin/ Kochi/ Ernakulam","Strong analytical background with experience using digital platforms, advanced data min...","sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
Data Scientist,XIUS,1-3 Yrs,Not disclosed,Hyderabad,Good knowledge in generating and developing optimized algorithms for building better re...,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,3-5 Yrs,Not disclosed,"Gurgaon, Gurugram","Qualification BTech / BE, from IIT / IIM/BITS / NIT etcRequired Candidate profileAdvanc...","R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
Data Scientist,eHelium Advisory Services Pvt Ltd,2-5 Yrs,Not disclosed,Chennai,Job code : EH_00002 | Chennai Job description Finance & Data Operations Data Science Te...,"Supply chain
Operations research
SAS
Analytical
Scheduling
SPSS
Forecasting
Analytics"
Data Scientist Required in Germany and Canada,Beyond Infinity Consultancy,1-4 Yrs,"30,00,000 - 45,00,000 PA.","Germany, Canada",Comtact :- 7428403420 Data scientist is someone who makes value out of data . Such a pe...,"analytics
business research
market intelligence
Data Scientist
Data Analysis
business analysis
market research
market analysis"
Data Scientist - Credit Risk Analysis - Fintech - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,3-5 Yrs,Not disclosed,Gurgaon,Data Scientist - Credit Risk Analysis - FinTech - IIT / IIM/BITS / NIT (3-5 yrsQualific...,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
Data Scientist - Hadoop/MapReduce,Okda consultancy,5-8 Yrs,Not disclosed,Vijayawada,"a. Masters in mathematics, statistics or computer science related field; PHD degree pre...","Data Scientist
Hadoop
data analyst
MapReduce"
Canadian MNC Looking For Data Scientist,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Hong Kong, Canada",Call Nishant - 6232442884 As a Data scientist duties typically include creating various...,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
Data Scientist - 1 Year ext Contract - Chennai,RANDSTAD INDIA PVT LTD,3-8 Yrs,Not disclosed,Chennai,Provide deep business expertise preferably Oil & Gas - Upstream or Downstream businesse...,"Spotfire
Power Bi
Customer Segmentation
Alteryx
Tableau
Analytics
Data Science
Retail"
Data Scientist,Dasceq,3-5 Yrs,Not disclosed,Bengaluru,Responsibilities for Data Scientist: Data mine and analyze data from company databases ...,"Computer science
SAN
Data analysis
French
Networking
Coding
Predictive modeling
MS Office"
Data Scientist,S4Carlisle Publishing Services,3-8 Yrs,Not disclosed,Chennai,"Preferred Masters or PhD in Statistics, Mathematics, Computer Science or other quantita...","Computer science
deep learning
Web tools
Programming
Predictive modeling
data visualization
Data mining
Statistics"
Urgent Required IN Expert DATA Scientist For HONG KONG & Canada,BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,10-20 Yrs,Not disclosed,"Hong Kong, Canada",graduate degree in Data Science or other quantitative field is preferredRequired Skills...,"retail marketing
senior data scientist
Associate Data Scientist
data analytics
data analysis
data science
data engineer
predictive modeling"
Data Scientist 2,"PayPal Holdings, Inc.",5-10 Yrs,Not disclosed,Bengaluru,We are looking for a Senior Data Scientist to develop PayPal s Risk strategy within Con...,"Data analysis
Excel
Strategic partnerships
Risk Analyst
Customer experience
Risk management
Forecasting
Monitoring"
DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,5-10 Yrs,Not disclosed,Gurgaon,Immediate Opening for Data Architect /Data Scientist for a Leading Global IT Co at Gurg...,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
Data Scientist & Data Visualization Expert (US Shift),WEN ENERGY SYSTEMS PRIVATE LIMITED,5-10 Yrs,Not disclosed,Delhi NCR,You have to be on the pilot seat if you want to do good in this role,"data analysis
data science
data mining
business growth
data visualization
predictive research
data collection
data analyst"
Solution Developer/data Scientist/data Analyst - Machine Learning,Tatvic,2-4 Yrs,Not disclosed,Ahmedabad,"Educational Qualification : BEB Tech, MSc IT, MCA or BEBTech in Statistics Mathematics ...","Data Science
R
Data Scientist
Data Management
DBMS
Solution Design
AWS
Machine Learning"
Data Scientist,Valence Health,1-3 Yrs,Not disclosed,Pune,"What You?ll Be Doing: Research, conceptualize, and implement analytical approaches and ...","Computer science
Administration
Claims
Analytical
Pharmacy
Machine learning
Predictive modeling
clinical data"
Data Scientist,UNIVERSAL ILLUSION TECHNOLOGIES INDIA PRIVATE LIMITED,3-8 Yrs,"9,00,000 - 18,00,000 PA.","Bengaluru, Gurgaon",experience in data science and machine learningStrong foundations in statistics and exp...,"data management
Data Scientist
data processing
Data Analysis
research analyst
Data Collection
Data Analyst"
Principal Data Scientist - Big Data,HyrEzy Talent Solutions,7-12 Yrs,Not disclosed,Delhi,"Bachelors or Masters degree in Computer Science, Math, Physics, Engineering, Statistics...","Data Science
Data Scientist
Data Management
Big Data
Data Visualization
Data Mining
Machine Learning
Python"
Canada MNC Looking For Data Scientist,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Canada",Call to Divya: 9870446618 As a Data scientist duties typically include creating various...,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
Canada MNC Looking For Data Scientist,Pleco Migration Private Limited,2-7 Yrs,"30,00,000 - 45,00,000 PA.","Hong Kong, Canada",Call to Divya: 9870446618 As a Data scientist duties typically include creating various...,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
Data Scientist,Mindtree Limited,10-12 Yrs,Not disclosed,Bengaluru,DATA ANALYSIS Years of Experience 10 to 12 years We are looking for a Data Scientist wh...,"IT Skills
Java
Python
Machine Learning
Javascript
Tableau
Power BI"
Principal Data Scientist,AXCESS CONSULTANCY SERVICES,0-3 Yrs,Not disclosed,Delhi,Job Description Please make sure candidate should qualify checklist written below: The ...,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
Analyst - Data Scientist,Hyrefox,1-3 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Data Scientist,Arraygen Technologies Pvt Ltd,1-4 Yrs,Not disclosed,Pune,"What we expect from you : Data exploration, mathematical/statistical modelling, data an...","Computer science
Logistic regression
Data analysis
Statistical modeling
Trend analysis
Hypothesis Testing
Design development
Predictive modeling"
Data Scientist | Academic Operations,AXCESS CONSULTANCY SERVICES,1-5 Yrs,Not disclosed,Bengaluru,Job Responsibilities: Your primary job responsibility will include (and not limited to)...,"data cleansing
Automation
Data analysis
Operations Manager
data science
Manager Program Management
Data collection
Feasibility analysis"
"Data Scientist, Advanced Analytics",ICL Systems,5-10 Yrs,Not disclosed,Gurgaon,Only ICL Systems offers seamless integration and total visibility in all segments of th...,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
Data Scientist / Analyst,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Chennai,Job Description and Responsibilities: 2+ years of experience in analytics industry Abil...,"Analyst
SAS R
Author
HTML
Analytics
Android
Python"
Data Scientist (ecommerce ) - Bangalore,iSearch Consulting Services Pvt Ltd,10-16 Yrs,Not disclosed,Bengaluru,Should have experience in DatascientistShould have experience in EcommerceExperience -1...,"R
time series
clustering
Spark
Python"
Job II Data Scientist Manager II Bangalore II C2H,BCFORWARD INDIA TECHNOLOGIES PRIVATE LIMITED,10-15 Yrs,Not disclosed,Bengaluru,Hello... Greetings form Bcforward We have immediate openings for Data Scientist Manager...,Data Scientist
Principal Data Scientist,GO-JEK,8-15 Yrs,Not disclosed,Bengaluru,Principal Data Scientist will architect and drive technical excellence in GoFood Search...,"Design engineering
data science
Diversity and Inclusion
Machine learning
Manager Technology
Infrastructure
Mentor
Product design"
Urgent Hiring IN Expert DATA Scientist For Canada,BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,5-10 Yrs,Not disclosed,Canada,graduate degree in Data Science or other quantitative field is preferredRequired Skills...,"data analysis
data science
EXPERT DATA SCIENTIST
data mining
Data Warehousing
Database Administrator
Data Center"
Data Scientist,YourStory Media Pvt. Ltd.,2-6 Yrs,Not disclosed,Delhi,Data Scientist Experience required: Five plus years Amazon Seller Services is looking f...,"Wireless
Product management
Supply chain
Computer science
Machine learning
HTML
QlikView
Information technology"
BDB Data Scientist,BizViz Technologies Pvt. Ltd.,3-8 Yrs,Not disclosed,"Bengaluru, Hyderabad","BizViz provides a 360 degree view of a business's data , serving any vertical and meeti...","algorithms
ERP
Data analysis
development
SAS
technical
software
developing"
Data Scientist,Aktana,3-7 Yrs,Not disclosed,Pune,POSITION SUMMARY Aktana is looking for an experienced Data Scientist to join our Data S...,"SAN
advanced analytics
analytics analyst"
Sr Data Scientist - Fraud,Neustar MarketShare,3-8 Yrs,Not disclosed,Bengaluru,"Neustar, Inc. is a leading global information services provider driving the connected w...","IT Skills
Python
Data Science
Machine Learning"
Data Scientist - Vice President,JP Morgan Chase,0-5 Yrs,Not disclosed,"Bengaluru, Bangalore East",Financial Services background or experience preferredRequired Candidate profileExperien...,"operations
technology
human resources
finance"
Data Scientist,Talent Corner HR Services Pvt Ltd,3-6 Yrs,"20,00,000 - 35,00,000 PA.",Pune,"A leading developer of ""edge intelligence"" software for industrial and commercial IoT a...","bayesian
python
data mining
amazon aws
pmml
microsoft azure
time series
cep"
Data Scientist,Dasceq,0-1 Yrs,Not disclosed,Bengaluru,Data mine and analyze data from company databases to drive optimization and improvement...,"Computer science
Data analysis
French
Networking
Coding
Predictive modeling
MS Office
Data mining"
"Data Scientist, Analytics",DotBits Inc,4-9 Yrs,Not disclosed,Hyderabad,"Responsibilities Apply your expertise in quantitative analysis, data mining, and the pr...","SAS
Business Analyst
PHP
SPSS
Data mining
Oracle
Analytics
Monitoring"
Sr . Data Scientist,Slack,6-11 Yrs,Not disclosed,Pune,Slack is looking for experienced data scientists to join our Product Analytics team and...,"SAN
Academic Research
Consulting
Business intelligence
Operations
Analytics
Quantitative analysis
SQL"
Data Scientist,Fine Jobs,6-11 Yrs,Not disclosed,Gurgaon,"In- depth experience in analytics and applications Expertise in languages like R, Pytho...","Computer science
Database Architect
Executive
Analytics
Python"
Data Scientist / Analyst,Hyrefox,2-7 Yrs,Not disclosed,Jaipur,Experience creating and using advanced machine learning algorithms and statistics: regr...,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
Hiring For Product Manager- Data Scientist,GOLDQUEST GLOBAL HR SERVICES PRIVATE LIMITED,3-8 Yrs,"10,00,000 - 20,00,000 PA.",Bengaluru,Full Time Bachelors / Masters Degree in Engineering or Masters in Business Administrati...,"supply chain planning
product management
data science
data scientist
problem solving
machine learning"
Data Scientist Expert Required at Chennai,2Coms Consulting Pvt Ltd.,3-6 Yrs,"15,00,000 - 25,00,000 PA.",Chennai,Applicants must have strong and core experience into Data Science and must be comfortab...,"Logistic Regression
data science
Data Scientist
Linear Regression
Advanced Analytics
Senior Data Scientist
Predective Modeling
advance analytics"
Sr . Data Scientist,MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,12-15 Yrs,Not disclosed,"Chennai, Bengaluru, Hyderabad, Noida","Job Description : 12-15 years of experience in total, with 7+ year as data scientist in...","Text mining
Team management
data science
Analytical
Network analysis
Social networking
Data processing
Mentor"
Data Scientist,Novartis Healthcare Pvt. Ltd.,3-6 Yrs,Not disclosed,Hyderabad,Job Description Data Scientist is responsible for the capabilities needed to operate a ...,"Computer science
Data analysis
Publishing
Machine learning
SCALA
Predictive modeling
QlikView
Data mining"
Data Scientist -Phd,Indecomm Global Services India Pvt Ltd,2-6 Yrs,Not disclosed,Bengaluru,"Phd with atleast 1 year of relevant experience Expertise in machine / deep learning, an...","Algorithms
NLP
Data Scientist
Tensor Flow
Neural Networks
NeuMF
Deep Learning
Google Cloud API"
Data Scientist - Telecom - Iim/iit/bits/ Nit/fms/mdi,Change Leaders,4-8 Yrs,Not disclosed,Bengaluru,The person who will justify this role should be able to ramp-up fast on business and te...,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
Data Scientist,"Coresight Research, Inc.",5-10 Yrs,Not disclosed,Mangalore,"Demonstrate a deep knowledge of and ability to operationalize, leading data technologie...","Analytical skills
Retail
Data analysis
Time management
Data modeling
Data collection
Research
SQL"
Data Scientist,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,2-7 Yrs,"12,00,000 - 20,00,000 PA.",Gurgaon,Create unique learning experiences that enable Great Learning customers to have a delig...,"advanced analytics
python
data analysis
data science
statistical modeling
business analytics
logistic regression
machine learning"
Data Scientist - KPO,Antrors HR Solutions,2-5 Yrs,Not disclosed,Bengaluru,Qualifications & Experience: - PG / MBA with 2 to 5 Yrs Experience with strong problem ...,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
Hiring For Data Analyst & Data Scientist in Abroad,Global Immigration Consultancy Inc.,3-8 Yrs,"25,00,000 - 37,50,000 PA.","United States (U.S), Hong Kong, Canada","About the Position As we build the future of consumer insurance in a modern age, data i...","matlab
advanced analytics
python
oracle
data management
data manipulation
data mining
data warehousing"
Data Scientist,Optimum Solutions,5-10 Yrs,Not disclosed,Chennai,"Need candidates who have experience in application development, data analytics. Candida...","hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,8-12 Yrs,Not disclosed,Bengaluru,Job description: Responsibilities Qualification and Skills Required •8-12 years of expe...,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
Job Opening | Data Scientist | Mumbai,Impact Guru Technology Ventures Pvt Ltd,1-5 Yrs,Not disclosed,Mumbai,Requirement : - Strong analytical & problem solving skills A drive to learn and master ...,"Database Building
data crunching
database construction
Data Analyst"
Data Scientist,Boomerang Commerce,1-3 Yrs,Not disclosed,Bengaluru,Description: At CommerceIQ we are building an AI- driven automated growth platform for ...,"Computer science
data science
Architecture
Programming
Data structures
E-commerce
Scientist 1
Forecasting"
Data Scientist - Analytics & Insights Team- Iit/iim,HyrEzy Talent Solutions,3-7 Yrs,Not disclosed,Noida,QUALIFICATIONS & EXPERIENCE: - Masters degree (or Bachelors degree with equivalent expe...,"Data Science
Data Scientist
Data Management
Statistical Modeling
Data Mining
Data Visualization
Data Modeling
Data Analytics"
Data Scientist,InstaFinancials,2-5 Yrs,Not disclosed,Bengaluru,JOB DESCRIPTION Analyze large amounts of data/ information to discover trends and patte...,"data science
Machine learning
power bi
Deployment
data visualization
Monitoring
Supervision
SQL"
Data Scientist,Wcities Content Solutions Pvt. Ltd.,2-6 Yrs,Not disclosed,Mumbai,Wcities looking for Data Scientists for Mumbai location ( Malad ) with advanced degree ...,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
Data Scientist- ML ( Tier 1 College ),New Era India,6-9 Yrs,Not disclosed,Bengaluru,Minimum Qualification Pursuing Masters Degree or PhD in Computer focused on Machine Lea...,"java
spark
AWS Redshift
Data Scientist
Hadoop
Kafka
DynamoDB"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Bengaluru,Responsibilities Qualification and Skills Required in a relevant technical (machine lea...,"Computer science
data science
Coding
Machine learning
HTML
Data mining
SQL
Android"
Data Scientist,Sequretek IT Solutions Pvt. Ltd.,1-4 Yrs,Not disclosed,Bengaluru,"Education: The candidate must have any of the below: BEB.TechMTech in Computer Science,...","IT Skills
Python
Data Science
Machine Learning"
Data Scientist - Insurance,Recrutist.com,2-5 Yrs,Not disclosed,Bengaluru,Our client is an insurance technology company founded by industry veterans as an endeav...,"Data Science
NLP
Data Scientist
Data Management
Data Mining
Data Modeling
Data Analytics
Statistics"
Sr Data Scientist - DNA,"Neustar, Inc",2-5 Yrs,Not disclosed,Bengaluru,The Data and Analytics organization at Neustar is the DNA of the company. The DNA encod...,"Product engineering
Analytical
Machine learning
Algorithm development
data visualization
Data mining
Business solutions
Open source"
Data Scientist - Fintech,Connexions,1-5 Yrs,Not disclosed,"Delhi NCR, Gurgaon","Preferred experience in banking, payments, B2B Lending space Experience with building i...","Data Science
Data Scientist
Data Management
Data Analytics
Statistics
Analytics
SQL
Python"
Analyst - Data Scientist,Client Of Sampoorna,3-5 Yrs,Not disclosed,Mumbai,Should have at-least 1 end-to-end ML project experienceCandidate Experience Should Be :...,Data Scientist
Data Scientist,Akshaya Business IT Solutions Pvt Ltd,3-6 Yrs,Not disclosed,Hyderabad,Qualification: Any Graduate / Masters with data science background Demonstrate proficie...,"Deep learning
R
C++
Data Scientist
Machine learning
Python"
TTEC - Data Scientist,TTEC,1-3 Yrs,Not disclosed,Hyderabad,"Data ScientistWhen everything's connected , how we connect is everything and we'd like ...","Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
Data Scientist,Fintech,2-6 Yrs,Not disclosed,Delhi,A drive to learn and master new technologies and techniquesRapidly growing organization...,"Predictive Modeling
power bi
Data Mining
Data Extraction
Machine Learning
sql
risk analysis
Data Scientist"
Senior Managing Consultant - Data Scientist,Antuit Inc.,13-15 Yrs,Not disclosed,Bengaluru,"Description Antuit is looking for a Senior Managing Consultant - Data Scientist, who ha...","Supply chain
SAS
Demand forecasting
Consulting
Machine learning
microsoft
Forecasting
consumer goods"
Data Scientist,DM CONSULTING (INDIA) PVT LTD,5-10 Yrs,Not disclosed,Bengaluru,MANDATORY SKILLS: 5 years experience in a relevant Data Scientist role Prior experience...,"critical care
Consultant
medicine
ICU
hospital
resident"
Data Scientist (fintech Startup),Snaphunt,1-6 Yrs,Not disclosed,Mumbai,"You possess a degree in Computer Science, Applied Mathematics, Engineering or related f...","Communication Skills
R
Computer Science
Data Analysis
Tableau
QlikView
Data Warehousing
Digital Content"
Data Scientist,Droom Technology Pvt. Ltd.,2-7 Yrs,Not disclosed,Gurgaon,"Want to be part of the most disruptive, innovative mobile commerce start- up in India w...","Computer science
Usage
Senior management
Data modeling
flume
sqoop
Product strategy"
Data Scientist - Dr.reddy's Hyderabad,Kelly Services India Pvt. Ltd.,6-10 Yrs,Not disclosed,Hyderabad,BE / BTech (preferably in Computer Science) or MCA or Statistics / Applied Mathematics ...,"Data Science
Java
R
Repository
SAS
Advanced Analytics
Javascript
Model Building"
Data Scientist,Western Digital,6-11 Yrs,Not disclosed,Bengaluru,6-12 years of work experience with CS/EE background. Must have: Solid experience with d...,"deep learning
data science
spark
Hadoop
Cloud
Algorithm development
Manager Technology
Deployment"
Data Scientist,mPlatform,1-4 Yrs,Not disclosed,Gurgaon,The ideal candidate is adept at using large data sets to find opportunities for campaig...,"Computer science
Data analysis
Bidding
Business analytics
Machine learning
Javascript
HTML
Data mining"
Data Scientist,Mindtree Limited,10-15 Yrs,Not disclosed,Chennai,Experience creating and using advanced machine learning algorithms and statistics: regr...,"Computer science
Google Analytics
SAS
Simulation
Coding
MySQL
Javascript
Predictive modeling"
Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,3-6 Yrs,Not disclosed,Bengaluru,3+ years of industry experience in building multi-tier analyticsKnowledge of programmin...,"Data Science
Hive
R
NLP
Hadoop
Big Data
Text Mining
Deep Learning"
Data Scientist,Headout,3-6 Yrs,Not disclosed,Bengaluru,". About the Role Data is at the core of what we do at Headout. As a data science team, ...","Data analysis
Product engineering
Usage
Machine learning
Silicon
Predictive modeling
Revenue generation
SQL"
Aptus Health Webmd - Data Scientist,Aptus Health India Private Limited,1-3 Yrs,Not disclosed,Navi Mumbai,Knowledge of Snowflake data warehousing is good to have * Experience with statistical a...,"Predictive Modeling
r
python
data science
statistical modeling
machine learning
logistic regression
sql"
Data Scientist - R / C + + / Python,Crosstab IT Consulting,2-5 Yrs,Not disclosed,Mumbai,Job Role : Data Scientist Job Location : Mumbai Key Responsibilities You will be workin...,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
Data Scientist - Lead / Senior / Manager,ADF Data Science Private Limited,6-10 Yrs,Not disclosed,Chennai,Experience in newer machine learning algorithmsExperience with NoSQL and distributed da...,"Data Science
Algorithms
Risk Analytics
Hadoop
Spark
Marketing Analytics
Machine Learning
Deep Learning"
Data Scientist,Healtheoz India,4-8 Yrs,Not disclosed,Noida,&Job Description& &Continuously monitor and challenge implemented models in existing pr...,"Computer science
Cloud computing
Logistic regression
PDF
Machine learning
linear regression
Predictive modeling
data visualization"
Data Scientist,T & A Solutions,1-6 Yrs,Not disclosed,Gurgaon,Data Scientist for Gurgaon | Responsibilities:Data Scientist Data Scientists will work ...,"matlab
algorithms
python
data analysis
sas
workflow
information technology
optimization"
Data scientist,Siemens Limited,2-6 Yrs,Not disclosed,Bengaluru,"Change the future with us You will Work with large, complex data sets and applying adva...","Supply chain
Business services
SAP
GIT
Analytical
Oracle
Business solutions
Information technology"
