JobDescription,Company,Experience,Salary,Location,JobDetails,Skills
Data Scientist Analytics-Text Analytics Expert- - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,8-13 Yrs,Not disclosed,Bengaluru,Data Scientist Analytics- Text Analytics Expert- Bangalore (4- 8 Years of Experience) -...,"Computer science
Neural networks
Artificial Intelligence
Machine learning
Algorithm development
HTML
Natural language processing
Pattern recognition"
Data Scientist I Xpanxion International I Pune,Xpanxion International Pvt Ltd,5-8 Yrs,Not disclosed,Pune,Required Candidate profile3+ years of machine learning and deep learning model developm...,"Communication Skills
Algorithms
Data Structures
Software Architecture
Problem Solving
Data Modeling
Machine Learning
Deep Learning"
Data scientist / Developer,Elton Consulting (INDIA) Private Limited,3-8 Yrs,Not disclosed,Coimbatore,Requirements A passion for making sense of lots of unstructured data Experience with NL...,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
Data Scientist,Hire IT People,2-5 Yrs,Not disclosed,Pune,Urgent Requirement - Data Scientist Pune: Baner Position: Full Time (Permanent) ABOUT R...,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
Data Scientist,Hire IT People,2-6 Yrs,Not disclosed,Pune,Job Description Urgent Requirement - Data Scientist Pune: Baner Position: Full Time (Pe...,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
data scientist,Skills Hr,5-10 Yrs,Not disclosed,"Chennai, Pune","Pune , Maharashtra , India More Details Skills Required : Job Summary : ish strong rela...","Microstrategy
Spotfire
Simulation
Spreadsheets
MySQL
Tools
Data mining
Econometrics"
Sr . Principal Data Scientist,Sanofi India Ltd,6-10 Yrs,Not disclosed,Hyderabad,Senior Principal Data Scientist Senior Principal Data Scientist will help transform evi...,"Prototype
Simulation
Linux
Coding
Analytical
Pharma
Clinical trials
Healthcare"
Data Scientist Insurance (5-8 Years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,5-8 Yrs,"20,00,000 - 22,50,000 PA.",Mumbai,An exciting opportunity as a Data Scientist utilizing your technical expertise in data ...,"Pytorch
Tensorflow
Artificial Intelligence
Natural Language Processing
Neural Networks
Keras
Text Mining
Machine Learning"
Job Opening For DATA Scientist in one of BIG 4 Company at Bellandur,Convate Consultancy Services Pvt Ltd,2-7 Yrs,Not disclosed,Bengaluru,"Should have working experience in STATS MODELLING, Financial modellingShould be experie...","NLP
Linear Regression
Finance
Python
Financial Modelling"
Data Scientist,Sanofi India Ltd,2-6 Yrs,Not disclosed,Hyderabad,Data Scientist Hyderabad Data Scientist Advanced Analytics - Data Scientist will execut...,"Linux
Analytical
Pharma
Machine learning
Healthcare
Data structures
Business strategy
biomedical"
Data Scientist,Sanofi India Ltd,2-6 Yrs,Not disclosed,Hyderabad,Data Scientist Hyderabad Data Scientist Advanced Analytics - Data Scientist will execut...,"Linux
Analytical
Pharma
Machine learning
Healthcare
Data structures
Business strategy
biomedical"
Data Scientist,Sanofi India Ltd,2-6 Yrs,Not disclosed,Hyderabad,Data Scientist Hyderabad Data Scientist Advanced Analytics - Data Scientist will execut...,"Linux
Analytical
Pharma
Machine learning
Healthcare
Data structures
Business strategy
biomedical"
Data Scientist,Sanofi India Ltd,2-5 Yrs,Not disclosed,Hyderabad,Data Scientist Advanced Analytics - Data Scientist will execute advanced computational ...,"Linux
Analytical
Pharma
Machine learning
Healthcare
Data structures
Business strategy
biomedical"
"Data Scientist Executive Mumbai,Maharashtra,India",greenhandle products pvt. ltd,0-3 Yrs,Not disclosed,Mumbai,"Designation: Data Scientist Executive Experience: 0 - 3 years Work Location: Bhandup, M...","Eco
Senior Executive
Packaging
Tools
PLSQL
Weaving
Oracle
Wholesale"
Data Scientist,ScaleIn,4-9 Yrs,Not disclosed,Bengaluru,"Data Scientist Location: Bangalore, Karnataka, India Sunnyvale, California, USA Bigdata...","Performance tuning
analytical
Postgresql
administration
Perl
SQL
nosql
analytics"
Data Scientist - Funded Startup - Chennai,ExpertEase Software (India) Private Limited,5-8 Yrs,"10,00,000 - 15,00,000 PA.",Chennai,"Experience with AWS cloud services: EC2, EMR, RDS, RedshiftBuild the infrastructure req...","nlp
pythobn
machinelearning
data scientist
datascientist"
Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai,"Data ScientistWe are looking for people with the right blend of technology skills, busi...","Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
Data Scientist Analytics Engineer Machine Learning Predictive Modeling,Blackcoffer,1-3 Yrs,Not disclosed,"Delhi NCR, Delhi","Experience working in predictive models, data models, financial models, and machine lea...","Data Science
Predictive Modeling
Regression Algorithms
R
Cloud Services
Data Scientist
Data Analytics
Machine Learning"
Data Scientist - Python/sql,Catalyst,2-7 Yrs,Not disclosed,Bengaluru,"Being the first data scientist of the company, you shall be responsible for building ro...","Java
R
mathematical modelling
NLP
Business Analyst
RDBMS
Data Scientist
statistical analysis"
Requirement on Data Scientist,Minds Network,4-9 Yrs,"10,00,000 - 20,00,000 PA.",Gurgaon,"Strong background in Machine Learning, Image processing, image based learning, Python, ...","Image Processing
Machine Learning
Python"
Data Scientist,Yokogawa Middle East,7-12 Yrs,Not disclosed,Bahrain,Job Purpose: To Perform Data Analysis for Digital Innovation Task Force group. Key Resp...,"Java
statistical
C++
data analysis
C
mathematics
data mining
machine learning"
Data Scientist/ Analyst,Applied Data Finance,2-3 Yrs,Not disclosed,Chennai,Roles and Responsibilities: Use of cutting edge machine learning techniques for solving...,"g Python query language
MySQL Object Oriented program"
Principal Data Scientist,CereSight,4-9 Yrs,Not disclosed,India,We are hiring for candidates with 4+ years hands on development in experience in ML/ AI...,"Computer science
deep learning
data science
spark
Artificial Intelligence
Machine learning
Manager Technology
big data"
Data Scientist - R/ Python,Techno-Comp Computer Services Private Limited,3-5 Yrs,Not disclosed,Chennai,"Working Experience in Recurrent Neural Networks (RNN - LSTM) Data visualization, Pre-pr...","R
NLP
Web Technologies
Neural Networks
Web Application
Data Visualization
Machine Learning
Python"
AI / ML Data Scientist - Democratize commerce through Technology,CareerXperts Consulting,2-7 Yrs,Not disclosed,Noida,AI / ML Data Scientist Democratize commerce through Technology! AI / ML Data Scientist ...,"Computer science
System architecture
C++
Image processing
Analytical
Consulting
Machine learning
Data mining"
